Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD-2020-98460,2020-01-01,2020-01-07,Standard Class,CUS-67910,Customer 826,Home Office,United States,CAL-City-1,California,70110,West,OFF-LAB-2578,Office Supplies,Labels,Labels Elite 700,6681.29,15,0.2,1654.83
2,ORD-2020-58872,2020-01-01,2020-01-04,Second Class,CUS-90492,Customer 17,Home Office,United States,TEN-City-4,Tennessee,12198,South,OFF-ENV-9971,Office Supplies,Envelopes,Envelopes Elite 825,1230.22,6,0.4,144.22
3,ORD-2020-66960,2020-01-01,2020-01-04,Same Day,CUS-66235,Customer 197,Consumer,United States,ORE-City-2,Oregon,94830,West,FUR-BOO-3957,Furniture,Bookcases,Bookcases Standard 920,1506.85,2,0.0,246.44
4,ORD-2020-48226,2020-01-01,2020-01-05,Standard Class,CUS-64615,Customer 799,Corporate,United States,ORE-City-3,Oregon,58225,West,FUR-TAB-1342,Furniture,Tables,Tables Pro 784,7428.33,6,0.0,1417.23
5,ORD-2020-34600,2020-01-01,2020-01-07,Standard Class,CUS-17176,Customer 132,Corporate,United States,FLO-City-5,Florida,31478,South,FUR-FUR-5030,Furniture,Furnishings,Furnishings Elite 485,17463.97,12,0.2,1230.9
6,ORD-2020-54554,2020-01-01,2020-01-04,Standard Class,CUS-87926,Customer 329,Home Office,United States,NOR-City-4,North Carolina,33230,South,FUR-BOO-3755,Furniture,Bookcases,Bookcases Pro 595,5933.34,5,0.3,109.99
7,ORD-2020-99327,2020-01-01,2020-01-08,First Class,CUS-68610,Customer 201,Consumer,United States,WAS-City-4,Washington,66980,West,TEC-COP-7389,Technology,Copiers,Copiers Basic 691,5810.19,5,0.1,1648.35
8,ORD-2020-92739,2020-01-01,2020-01-08,Standard Class,CUS-70960,Customer 188,Corporate,United States,ILL-City-4,Illinois,22383,Central,FUR-BOO-9089,Furniture,Bookcases,Bookcases Basic 349,2211.45,5,0.0,533.78
9,ORD-2020-32939,2020-01-02,2020-01-08,Standard Class,CUS-66771,Customer 148,Corporate,United States,IND-City-4,Indiana,30801,Central,TEC-MAC-9771,Technology,Machines,Machines Basic 150,8237.77,9,0.25,552.91
10,ORD-2020-65007,2020-01-02,2020-01-04,Standard Class,CUS-32421,Customer 412,Home Office,United States,NOR-City-1,North Carolina,43273,South,OFF-BIN-5639,Office Supplies,Binders,Binders Premium 113,106.18,1,0.1,35.61
11,ORD-2020-12034,2020-01-02,2020-01-07,First Class,CUS-69635,Customer 827,Corporate,United States,TEX-City-3,Texas,52367,Central,OFF-FAS-7066,Office Supplies,Fasteners,Fasteners Pro 205,2389.15,7,0.2,404.73
12,ORD-2020-62787,2020-01-02,2020-01-09,First Class,CUS-21491,Customer 62,Home Office,United States,NOR-City-4,North Carolina,49596,South,FUR-CHA-1086,Furniture,Chairs,Chairs Standard 946,3898.69,4,0.25,249.03
13,ORD-2020-36647,2020-01-02,2020-01-04,Standard Class,CUS-88176,Customer 365,Home Office,United States,MAS-City-4,Massachusetts,22725,East,TEC-MAC-2668,Technology,Machines,Machines Basic 990,29071.05,15,0.15,4432.77
14,ORD-2020-28456,2020-01-03,2020-01-10,Second Class,CUS-28554,Customer 734,Corporate,United States,NEW-City-4,New York,98841,East,FUR-CHA-2199,Furniture,Chairs,Chairs Pro 947,5112.25,5,0.25,38.3
15,ORD-2020-25551,2020-01-03,2020-01-10,Second Class,CUS-22736,Customer 235,Corporate,United States,ARI-City-5,Arizona,80731,West,OFF-BIN-9135,Office Supplies,Binders,Binders Pro 894,497.12,5,0.15,116.79
16,ORD-2020-26001,2020-01-03,2020-01-08,Second Class,CUS-19852,Customer 812,Consumer,United States,NOR-City-1,North Carolina,11498,South,OFF-ENV-3547,Office Supplies,Envelopes,Envelopes Basic 467,761.59,2,0.0,176.51
17,ORD-2020-92424,2020-01-03,2020-01-07,Same Day,CUS-45643,Customer 601,Consumer,United States,WAS-City-1,Washington,56777,West,TEC-COP-7960,Technology,Copiers,Copiers Standard 812,18608.97,11,0.4,1173.17
18,ORD-2020-33499,2020-01-03,2020-01-05,Same Day,CUS-76282,Customer 65,Corporate,United States,NEW-City-2,New York,74395,East,TEC-ACC-5406,Technology,Accessories,Accessories Pro 561,16955.59,11,0.2,1686.82
19,ORD-2020-42279,2020-01-03,2020-01-06,First Class,CUS-23340,Customer 722,Consumer,United States,NEW-City-5,New York,68064,East,OFF-FAS-2897,Office Supplies,Fasteners,Fasteners Elite 481,216.72,11,0.15,35.51
20,ORD-2020-55943,2020-01-03,2020-01-10,Standard Class,CUS-73192,Customer 809,Corporate,United States,TEN-City-4,Tennessee,20986,South,OFF-STO-9680,Office Supplies,Storage,Storage Premium 334,498.9,7,0.25,113.84
21,ORD-2020-49019,2020-01-04,2020-01-05,First Class,CUS-34821,Customer 338,Consumer,United States,TEX-City-2,Texas,56135,Central,TEC-COP-9661,Technology,Copiers,Copiers Premium 730,3597.26,4,0.1,395.55
22,ORD-2020-82180,2020-01-04,2020-01-06,First Class,CUS-35364,Customer 95,Home Office,United States,CON-City-1,Connecticut,88588,East,FUR-TAB-7311,Furniture,Tables,Tables Premium 603,3530.01,3,0.1,437.93
23,ORD-2020-36304,2020-01-04,2020-01-07,Second Class,CUS-24889,Customer 816,Home Office,United States,ILL-City-3,Illinois,33727,Central,TEC-PHO-6400,Technology,Phones,Phones Pro 223,28494.87,15,0.4,-579.42
24,ORD-2020-11595,2020-01-04,2020-01-10,Second Class,CUS-39076,Customer 681,Consumer,United States,GEO-City-4,Georgia,31366,South,FUR-CHA-3433,Furniture,Chairs,Chairs Basic 300,4283.74,13,0.3,232.54
25,ORD-2020-16581,2020-01-04,2020-01-09,Standard Class,CUS-69376,Customer 365,Consumer,United States,IND-City-4,Indiana,87856,Central,TEC-ACC-1432,Technology,Accessories,Accessories Elite 124,19671.37,14,0.15,2880.65
26,ORD-2020-83071,2020-01-05,2020-01-12,Second Class,CUS-41115,Customer 549,Consumer,United States,MAS-City-4,Massachusetts,49817,East,FUR-TAB-8413,Furniture,Tables,Tables Standard 806,5199.28,6,0.25,290.32
27,ORD-2020-11184,2020-01-05,2020-01-12,Second Class,CUS-63554,Customer 138,Corporate,United States,PEN-City-4,Pennsylvania,95849,East,OFF-STO-2747,Office Supplies,Storage,Storage Premium 218,764.07,2,0.1,250.96
28,ORD-2020-11100,2020-01-05,2020-01-06,First Class,CUS-42877,Customer 519,Consumer,United States,IND-City-3,Indiana,42637,Central,OFF-ART-3214,Office Supplies,Art,Art Elite 781,1826.58,11,0.15,347.72
29,ORD-2020-14676,2020-01-05,2020-01-06,Second Class,CUS-95869,Customer 114,Corporate,United States,NEW-City-4,New York,80856,East,FUR-CHA-9394,Furniture,Chairs,Chairs Elite 442,7047.65,12,0.1,1377.92
30,ORD-2020-46165,2020-01-05,2020-01-07,First Class,CUS-88277,Customer 722,Home Office,United States,OHI-City-4,Ohio,88365,Central,TEC-PHO-8643,Technology,Phones,Phones Basic 655,5679.32,7,0.1,1143.46
31,ORD-2020-66027,2020-01-05,2020-01-12,First Class,CUS-18822,Customer 116,Home Office,United States,WAS-City-3,Washington,60465,West,FUR-FUR-8318,Furniture,Furnishings,Furnishings Premium 934,488.87,3,0.0,62.22
32,ORD-2020-21841,2020-01-05,2020-01-09,Second Class,CUS-28425,Customer 614,Corporate,United States,ILL-City-2,Illinois,16364,Central,OFF-FAS-9809,Office Supplies,Fasteners,Fasteners Premium 430,1575.89,9,0.25,343.67
33,ORD-2020-63664,2020-01-05,2020-01-10,Second Class,CUS-62444,Customer 183,Consumer,United States,PEN-City-4,Pennsylvania,11539,East,TEC-PHO-8284,Technology,Phones,Phones Elite 494,2350.05,8,0.1,448.51
